Emoji,Unicode Name,Description
🍎,Red Apple,eating
😎,Smiling Face with Sunglasses,cool
🔒,Locked,digital security
📸,Camera with Flash,pro photographer
✂️,Scissors,haircutting tool
🙄,Face with Rolling Eyes,feeling impatient right now
🎈,Balloon,balloon air
📈,Chart Increasing,chart
🤣,Rolling on the Floor Laughing,completely ridiculous and funny
😍,Smiling Face with Heart-Eyes,beautiful face
💡,Light Bulb,glowing yellow light
❄️,Snowflake,cold snow
🍺,Beer Mug,craft beer
🧸,Teddy Bear,child
👍,Thumbs Up,roger that
🥗,Green Salad,vegan meal option
💀,Skull,bony
🍷,Wine Glass,dining wine
🔑,Key,answer
☕,Hot Beverage,drink cup
🙏,Folded Hands,thankful heart
⌚,Watch,track
🔬,Microscope,microscope lab
📑,Bookmark Tabs,tool organization
📏,Straight Ruler,drawing accurate lines
🚂,Locomotive,train steam
🖋️,Fountain Pen,quality
😭,Loudly Crying Face,im hurting
🏮,Red Paper Lantern,traditional
🔬,Microscope,project
🏀,Basketball,court ball
🤔,Thinking Face,what do you mean
👍,Thumbs Up,sounds perfect
🧼,Soap,liquid soap
🍰,Shortcake,delicious sugar treat
🐶,Dog Face,dog puppy
🧸,Teddy Bear,brown
🧹,Broom,broom house
😂,Face with Tears of Joy,im wheezing
🚽,Toilet,toilet hygiene
🍺,Beer Mug,party beer
🍺,Beer Mug,celebration with alcohol
🌡️,Thermometer,weather thermometer
🚲,Bicycle,bike wheels
📂,Open File Folder,storage
☕,Hot Beverage,hot
🕯️,Candle,peaceful
💀,Skull,spooky skeleton head
🌈,Rainbow,peace symbol
☕,Hot Beverage,tea
🏠,House,my sweet home
🕰️,Mantelpiece Clock,ticking time
❤️,Red Heart,kindness and love
🧭,Compass,dial compass
😴,Sleeping Face,time to go to bed
🍎,Red Apple,apple
🕯️,Candle,soft flame
😍,Smiling Face with Heart-Eyes,heart eyes only
🧭,Compass,hiking gear
🔑,Key,lock
📱,Mobile Phone,phone device
🪒,Razor,sharp blade
🚪,Door,house door
❤️,Red Heart,sweet love
📸,Camera with Flash,taking a picture
🔑,Key,key opening
🥪,Sandwich,healthy bread layers
🤣,Rolling on the Floor Laughing,ridiculous funny
🧭,Compass,compass north
🔭,Telescope,telescope tool
🎾,Tennis,tennis volley
🔥,Fire,flames of passion
🔌,Electric Plug,plug
🤡,Clown Face,colorful face
🌈,Rainbow,after storm
🧺,Basket,farm basket
❄️,Snowflake,snow flake
✂️,Scissors,paper
💔,Broken Heart,loss
🎈,Balloon,string and balloon
🏀,Basketball,basketball
😎,Smiling Face with Sunglasses,dark shades
😊,Smiling Face with Smiling Eyes,a warm friendly smile
🔑,Key,key house
✨,Sparkles,shining like a star
🍺,Beer Mug,friends beer
🔥,Fire,fire starter
🛳️,Passenger Ship,deck
🙏,Folded Hands,appreciative heart
🙏,Folded Hands,asking for a blessing
🧪,Test Tube,clear glass tube
🚪,Door,wooden
🌍,Globe Showing Europe-Africa,geography earth
🌍,Globe Showing Europe-Africa,earth from space
🧺,Basket,farm
✈️,Airplane,flying flight
✈️,Airplane,cabin
💊,Pill,healthcare treatment
🍕,Pizza,ordering
🧺,Basket,storage
🍺,Beer Mug,social
🕰️,Mantelpiece Clock,clock classic
📏,Straight Ruler,precision tool
🚿,Shower,bath
🔦,Flashlight,beam
🔑,Key,security key
🎁,Wrapped Gift,wrapped with a ribbon
💔,Broken Heart,shattered
🧺,Basket,laundry
💰,Money Bag,money jackpot
💻,Laptop,working on computer
📚,Books,piles of literature
🧬,DNA,code dna
🚽,Toilet,bowl toilet
🔭,Telescope,astronomy hobby
🚪,Door,door frame
👍,Thumbs Up,great
💻,Laptop,internet
🔌,Electric Plug,wall
🧸,Teddy Bear,nursery
❄️,Snowflake,design
😎,Smiling Face with Sunglasses,boss mode
🛋️,Couch and Lamp,home decor
😭,Loudly Crying Face,i am suffering
🍦,Soft Serve,sun melting
🚽,Toilet,porcelain toilet
💀,Skull,i am dead from laughter
🗺️,World Map,study map
🔌,Electric Plug,wire plug
🏮,Red Paper Lantern,asian
🛁,Bathtub,soap bath
🙏,Folded Hands,requesting
🐶,Dog Face,dog pet
💻,Laptop,technology
🧸,Teddy Bear,nursery decor
👍,Thumbs Up,ready
✏️,Pencil,creative
🛋️,Couch and Lamp,sofa couch
🧭,Compass,instrument compass
☀️,Sun,shining
📡,Satellite Antenna,modern tech
⌚,Watch,watch minutes
💡,Light Bulb,idea
🍎,Red Apple,classic garden fruit
💰,Money Bag,cash
😊,Smiling Face with Smiling Eyes,feeling happy and content
🕰️,Mantelpiece Clock,style
🔬,Microscope,microscope medical
🛳️,Passenger Ship,water
🚪,Door,room
🧬,DNA,dna structure
🪒,Razor,barber razor
🚲,Bicycle,exercise
🕯️,Candle,candle warm
🛋️,Couch and Lamp,sitting
🍺,Beer Mug,drinking beer
🧬,DNA,ancestry and genes
🔭,Telescope,telescope exploration
🕰️,Mantelpiece Clock,timepiece
📂,Open File Folder,digital folder
🖼️,Framed Picture,hanging artwork
💰,Money Bag,saving up coins
⚽,Soccer Ball,team
🧼,Soap,washing soap
🔦,Flashlight,gear
🎸,Guitar,loud guitar
🏠,House,property
😊,Smiling Face with Smiling Eyes,simple joy and happiness
🍕,Pizza,dough pizza
🚲,Bicycle,cycling bike
🛳️,Passenger Ship,ship vacation
🚗,Automobile,car motor
🔌,Electric Plug,machine
💰,Money Bag,making lots of money
✂️,Scissors,office
🕯️,Candle,soft candle
🌡️,Thermometer,medical checkup
🍔,Hamburger,classic american food
🏀,Basketball,basketball hoop
🥪,Sandwich,toast
📑,Bookmark Tabs,tags
🛋️,Couch and Lamp,furniture
😊,Smiling Face with Smiling Eyes,smiling softly
📈,Chart Increasing,trend
🎁,Wrapped Gift,offering gift
✏️,Pencil,pencil school
🔒,Locked,locked restricted
🗺️,World Map,map locations
🔥,Fire,great job on the win
🚲,Bicycle,bike health
💀,Skull,skull
❄️,Snowflake,freezing
📓,Notebook,writing
🔥,Fire,things are heating up
🎾,Tennis,exercise
❄️,Snowflake,weather
📏,Straight Ruler,plastic
✏️,Pencil,lead
🎾,Tennis,match tennis
🌈,Rainbow,bright happy
⌚,Watch,watch formal
🎈,Balloon,balloon birthday
🧪,Test Tube,glass tube
🧸,Teddy Bear,animal teddy
🤣,Rolling on the Floor Laughing,so funny
📍,Round Pushpin,here
🏮,Red Paper Lantern,asian culture
🔒,Locked,secure and private
🤡,Clown Face,acting foolish
🍷,Wine Glass,dinner wine
🚀,Rocket,growth progress
🌈,Rainbow,rainbow sky
🖋️,Fountain Pen,fancy
🥳,Partying Face,special occasion celebration
🔭,Telescope,telescope sky
🐱,Cat Face,meowing
🏀,Basketball,dunking
🔬,Microscope,scientific research
✨,Sparkles,magical moment
📑,Bookmark Tabs,tab markers
😎,Smiling Face with Sunglasses,ice
🪒,Razor,safety razor
🍔,Hamburger,lunch
🔭,Telescope,astronomy
☀️,Sun,solar energy source
✂️,Scissors,tool
🥳,Partying Face,loud cheers
📏,Straight Ruler,ruler geometry
🚂,Locomotive,train rail
🔥,Fire,super hot trending topic
🔒,Locked,restricted access
🕰️,Mantelpiece Clock,clock time
🕯️,Candle,warm
📱,Mobile Phone,pocket
🚲,Bicycle,bike transport
🔒,Locked,restricted lock
📈,Chart Increasing,business chart
💔,Broken Heart,sad vibes
😭,Loudly Crying Face,mourning a loss
🔌,Electric Plug,plug outlet
🍕,Pizza,tomato
📱,Mobile Phone,using a smartphone
📸,Camera with Flash,capturing the moment
🔬,Microscope,discovery
✨,Sparkles,fresh and clean
🥳,Partying Face,loud cheers and fun
💡,Light Bulb,light bulb
😎,Smiling Face with Sunglasses,stylish and trendy
🛋️,Couch and Lamp,relaxing couch
🥗,Green Salad,salad vegetable
🙏,Folded Hands,please
🎈,Balloon,air balloon
🖋️,Fountain Pen,artist tool
🚀,Rocket,ambitious goals
🖼️,Framed Picture,frame painting
🐱,Cat Face,meowing for food
😂,Face with Tears of Joy,hilarious stuff
🌍,Globe Showing Europe-Africa,community
🔦,Flashlight,beam of light
💔,Broken Heart,grief vibes
🛁,Bathtub,spot
🏠,House,living home
🛏️,Bed,cozy bed
🧼,Soap,germ
🏠,House,neighborhood living
☀️,Sun,sunny
😂,Face with Tears of Joy,that killed me
🍕,Pizza,dough
📍,Round Pushpin,tracking the spot
🧸,Teddy Bear,cute gift
👍,Thumbs Up,well played
🪒,Razor,accessory
🍦,Soft Serve,treat
🌈,Rainbow,hope pride
🏮,Red Paper Lantern,glow
🍰,Shortcake,sweet dessert treat
📏,Straight Ruler,edge
🥗,Green Salad,vegan salad
✨,Sparkles,shiny object
🕯️,Candle,peaceful ambiance
🚲,Bicycle,outdoor
🔒,Locked,safe
🧹,Broom,broom dust
🙏,Folded Hands,appreciation
📚,Books,supplies
🍦,Soft Serve,sun
🙄,Face with Rolling Eyes,annoyed
🎾,Tennis,racket court
🧪,Test Tube,liquid tube
🥗,Green Salad,bowl salad
🍦,Soft Serve,summer
🙏,Folded Hands,prayer hands
🛁,Bathtub,soap
💔,Broken Heart,pain
🛳️,Passenger Ship,cruise
🕰️,Mantelpiece Clock,hour and minute
📂,Open File Folder,office work
😂,Face with Tears of Joy,so much joy
🐱,Cat Face,pet
🚀,Rocket,taking off into the sky
📍,Round Pushpin,location point
🗺️,World Map,locations and borders
🥳,Partying Face,celebrate always
🤡,Clown Face,weird face
💀,Skull,morbid humor
🧹,Broom,manual cleaning
🌍,Globe Showing Europe-Africa,news earth
🖼️,Framed Picture,home decoration
🚲,Bicycle,bike cycling
⌚,Watch,checking the time
🧭,Compass,magnetic compass
🏠,House,house home
🙄,Face with Rolling Eyes,sarcasm
🤣,Rolling on the Floor Laughing,hysterical
😎,Smiling Face with Sunglasses,keeping it chill
🔦,Flashlight,night
🧺,Basket,handle and weave
💀,Skull,bony head
🧺,Basket,handle
🛏️,Bed,bedroom
📑,Bookmark Tabs,tool
🗺️,World Map,explorer map
😂,Face with Tears of Joy,side splitting
🎾,Tennis,yellow fuzzy ball
🧸,Teddy Bear,toy teddy
😎,Smiling Face with Sunglasses,smooth vibe
🕯️,Candle,light candle
🚽,Toilet,sanitation toilet
🚀,Rocket,sky high
🌡️,Thermometer,health thermometer
🙄,Face with Rolling Eyes,disbelief look
🔑,Key,key access
🔥,Fire,burning desire
🔋,Battery,full energy cell
🏀,Basketball,sports
🚲,Bicycle,two wheel transport
💊,Pill,medical treatment
🍺,Beer Mug,cold beer
🎁,Wrapped Gift,surprise for you
☕,Hot Beverage,liquid
🚽,Toilet,porcelain
✈️,Airplane,international airplane
🥗,Green Salad,green
🖋️,Fountain Pen,writing pen
🪒,Razor,razor
📏,Straight Ruler,ruler construction
🛳️,Passenger Ship,ship
🐱,Cat Face,curious kitten
🎁,Wrapped Gift,wrapped present
🐶,Dog Face,friend puppy
📈,Chart Increasing,success chart
🥳,Partying Face,happy birthday party
🤡,Clown Face,funny face
🧸,Teddy Bear,teddy cuddly
📡,Satellite Antenna,space antenna
📑,Bookmark Tabs,page
🚀,Rocket,speed
🍕,Pizza,pepperoni pizza
🔬,Microscope,tool
📚,Books,research
⌛,Hourglass Done,glass
🧪,Test Tube,chemicals
🧪,Test Tube,lab worker
🧺,Basket,basket laundry
💡,Light Bulb,brilliant bulb
🛁,Bathtub,bathtub bathroom
🎁,Wrapped Gift,offering
📍,Round Pushpin,spot
🚂,Locomotive,locomotive train
🍦,Soft Serve,ice cream
🐶,Dog Face,furry animal companion
🎁,Wrapped Gift,present gift
🔦,Flashlight,flashlight camping
🛏️,Bed,dreaming in bed
😭,Loudly Crying Face,so depressed
🐶,Dog Face,companion
🔨,Hammer,construction hammer
🕯️,Candle,warm light
📱,Mobile Phone,smartphone mobile
💀,Skull,end of my life
📂,Open File Folder,documents folder
😴,Sleeping Face,drifting
😎,Smiling Face with Sunglasses,trendy vibes
🤔,Thinking Face,deep reflection
🐶,Dog Face,love for animals
📑,Bookmark Tabs,marking tabs
🤡,Clown Face,silly face
🧪,Test Tube,liquid chemicals
👍,Thumbs Up,okay then
😎,Smiling Face with Sunglasses,cool as ice
⌚,Watch,ticking watch
🤣,Rolling on the Floor Laughing,losing it
💰,Money Bag,currency
🧼,Soap,soap bubbles
🐱,Cat Face,cat face
🏮,Red Paper Lantern,asian lantern
🌈,Rainbow,color spectrum
🛳️,Passenger Ship,boat vacation
🖼️,Framed Picture,wall art
🥪,Sandwich,sandwich cheese
📱,Mobile Phone,usage
📚,Books,piles books
💰,Money Bag,coins bag
🍕,Pizza,tomato sauce and crust
☕,Hot Beverage,warm hot
🎁,Wrapped Gift,gift package
🧹,Broom,broom sweeping
🔔,Bell,bell dinner
🥳,Partying Face,birthday joy
🧭,Compass,guide
🗺️,World Map,continents and oceans
👍,Thumbs Up,approve
🏮,Red Paper Lantern,lantern
🖼️,Framed Picture,decor
🧬,DNA,ancestry dna
🚀,Rocket,engine power start
🤡,Clown Face,making mockery
🧭,Compass,explorer's kit
🍰,Shortcake,piece
🧼,Soap,supply
🔥,Fire,hot girl summer
🥪,Sandwich,tasty sandwich
💀,Skull,feeling extremely tired
💊,Pill,advice
🕰️,Mantelpiece Clock,shelf ornament
📑,Bookmark Tabs,document bookmark
📑,Bookmark Tabs,document organization
🍦,Soft Serve,white swirl
❤️,Red Heart,loving life
🔬,Microscope,biology microscope
🪒,Razor,razor shaving
✨,Sparkles,prestige and high quality
🪒,Razor,razor tool
🤣,Rolling on the Floor Laughing,joy
🔦,Flashlight,flashlight torch
📸,Camera with Flash,photos
🔦,Flashlight,flashlight search
🏮,Red Paper Lantern,soft glow
🧸,Teddy Bear,bear toy
🧪,Test Tube,laboratory
🍦,Soft Serve,sweet treat
💰,Money Bag,wealthy
📈,Chart Increasing,profits
🚗,Automobile,driving
📏,Straight Ruler,straight edge line
🎈,Balloon,celebration symbol
🍎,Red Apple,teacher apple
🚽,Toilet,flushing water
🎈,Balloon,balloon flying
🍔,Hamburger,dinner
🐶,Dog Face,dog companion
📸,Camera with Flash,professional photographer
🙏,Folded Hands,blessed life
🛁,Bathtub,bathtub tub
☕,Hot Beverage,coffee hot
😭,Loudly Crying Face,tragic loss
🥳,Partying Face,festive
📱,Mobile Phone,tool phone
🕯️,Candle,light
🥗,Green Salad,salad lettuce
😍,Smiling Face with Heart-Eyes,loving what i see
🙄,Face with Rolling Eyes,unimpressed
🏀,Basketball,life
🚂,Locomotive,passengers
❤️,Red Heart,heart emoji
🐶,Dog Face,dog face
⚽,Soccer Ball,professional soccer
🍰,Shortcake,sweets cake
✈️,Airplane,taking a flight
🏀,Basketball,net
🔑,Key,opening a lock
🪒,Razor,shave face
🎁,Wrapped Gift,gift ribbon
🍦,Soft Serve,cooling down with sugar
📓,Notebook,notebook journal
💡,Light Bulb,electric
⚽,Soccer Ball,professional
🐱,Cat Face,fluffy kitten whiskers
❄️,Snowflake,outdoor
🏠,House,house roof
💡,Light Bulb,thinking
📍,Round Pushpin,mark
😭,Loudly Crying Face,loud sobbing
💰,Money Bag,money cash
❤️,Red Heart,heart of gold
🌡️,Thermometer,glass tube measure
⌚,Watch,watch seconds
🛁,Bathtub,water
😭,Loudly Crying Face,i am devastated
⚽,Soccer Ball,football ball
💊,Pill,pill healthcare
🍦,Soft Serve,vanilla dessert
🧹,Broom,witch
🚲,Bicycle,bike outdoor
💊,Pill,health and wellness
😍,Smiling Face with Heart-Eyes,heart shaped eyes
🚪,Door,door house
☀️,Sun,sunrise sun
📍,Round Pushpin,found spot
⌛,Hourglass Done,end time
🍦,Soft Serve,dairy
🔬,Microscope,lens
📈,Chart Increasing,heights
🧼,Soap,clean
🙏,Folded Hands,namaste spirit
😭,Loudly Crying Face,im so sad
🐱,Cat Face,curious cat
🚂,Locomotive,train
📈,Chart Increasing,hitting new heights
🔬,Microscope,small detail view
✈️,Airplane,flying
😂,Face with Tears of Joy,hilarious joke lol
✨,Sparkles,glittering gems
🥗,Green Salad,meal salad
🎸,Guitar,strumming guitar
📸,Camera with Flash,smile camera
🍎,Red Apple,fresh from orchard
🎸,Guitar,musician work
🍔,Hamburger,sesame bun
💰,Money Bag,hitting the jackpot
📂,Open File Folder,papers
📑,Bookmark Tabs,page bookmark
🎾,Tennis,tennis sports
📏,Straight Ruler,school ruler
✂️,Scissors,scissors
👍,Thumbs Up,nice job
😊,Smiling Face with Smiling Eyes,sweet
🥳,Partying Face,let's party
🧪,Test Tube,tube research
💰,Money Bag,rich
📱,Mobile Phone,computer
☀️,Sun,solar
🕯️,Candle,candle peaceful
🌈,Rainbow,colorful sky arc
😴,Sleeping Face,drifting sleep
😭,Loudly Crying Face,weeping loudly
😂,Face with Tears of Joy,im screaming
🍷,Wine Glass,wine toast
🍕,Pizza,fast
📱,Mobile Phone,phone digital
🏀,Basketball,points
🛋️,Couch and Lamp,sofa home
📑,Bookmark Tabs,bookmark document
🤣,Rolling on the Floor Laughing,floor
🍕,Pizza,cheese pizza
🗺️,World Map,world geography
🔭,Telescope,exploration
🌍,Globe Showing Europe-Africa,view
🛏️,Bed,bed time
🎸,Guitar,guitar song
✨,Sparkles,night sky
🌍,Globe Showing Europe-Africa,community globe
🛏️,Bed,bed rest
😴,Sleeping Face,nap
🌍,Globe Showing Europe-Africa,marble
❄️,Snowflake,snowflake
🧬,DNA,molecule dna
✂️,Scissors,hobby tool
🍷,Wine Glass,toast wine
🚪,Door,door entry
🔬,Microscope,magnification lens
💀,Skull,bony face
💊,Pill,medical capsule
🚲,Bicycle,mountain
😂,Face with Tears of Joy,laughing out loud
🔒,Locked,lock
🤣,Rolling on the Floor Laughing,rofl laughing hard
🚲,Bicycle,riding a bike
✏️,Pencil,wooden
🔦,Flashlight,emergency light
📈,Chart Increasing,scaling chart
🧹,Broom,sweeping
🙄,Face with Rolling Eyes,dismissive
📸,Camera with Flash,memories
🧼,Soap,hand soap
🍎,Red Apple,habits
😎,Smiling Face with Sunglasses,energy vibes
🔔,Bell,music bell
🍔,Hamburger,fast food meal
😊,Smiling Face with Smiling Eyes,smiling
🚿,Shower,washing shower
🏀,Basketball,net ball
🛳️,Passenger Ship,boat ship
😴,Sleeping Face,very sleepy
🏮,Red Paper Lantern,lantern light
🍰,Shortcake,food
🔌,Electric Plug,source
🐶,Dog Face,breed
🔔,Bell,classic metal bell
🧺,Basket,holding goods
😊,Smiling Face with Smiling Eyes,positive
✈️,Airplane,departing on trip
☀️,Sun,sunny sky
📚,Books,stack books
🎈,Balloon,supply
🏀,Basketball,basketball game
🌧️,Cloud with Rain,drops
🍺,Beer Mug,social drinking time
🛏️,Bed,bed pillow
😎,Smiling Face with Sunglasses,relaxed energy
🖋️,Fountain Pen,high quality pen
📈,Chart Increasing,profits rising
🌍,Globe Showing Europe-Africa,travel around world
🪒,Razor,shave hair
📍,Round Pushpin,pin on the map
💔,Broken Heart,deep emotional pain
🗺️,World Map,path
📸,Camera with Flash,taking picture
🌈,Rainbow,magic
🧭,Compass,compass tool
🚪,Door,privacy and entry
📸,Camera with Flash,arts
🔌,Electric Plug,electric plug
🥪,Sandwich,bread
⌛,Hourglass Done,time glass
🚂,Locomotive,history
🤡,Clown Face,clowning
📏,Straight Ruler,construction measure
🍎,Red Apple,healthy
💰,Money Bag,profit bag
💻,Laptop,computer
😴,Sleeping Face,drifting face
💰,Money Bag,bank and currency
☕,Hot Beverage,cup
🙏,Folded Hands,praying
❄️,Snowflake,flake snow
😴,Sleeping Face,day face
❤️,Red Heart,pure love and light
😴,Sleeping Face,long day
✂️,Scissors,craft tool
📸,Camera with Flash,lens
📸,Camera with Flash,camera work
⌛,Hourglass Done,sand
📂,Open File Folder,organizing papers
🛋️,Couch and Lamp,couch sofa
🥳,Partying Face,confetti joy
🔬,Microscope,lab
🧬,DNA,dna code
👍,Thumbs Up,okay with me
❤️,Red Heart,i love you
⌚,Watch,smart watch
🥳,Partying Face,party
😊,Smiling Face with Smiling Eyes,peaceful
🏠,House,living house
🔒,Locked,bolt lock
😭,Loudly Crying Face,so much sorrow
⌛,Hourglass Done,glass hourglass
🧸,Teddy Bear,bear teddy
🎾,Tennis,fuzzy ball
💊,Pill,drug pill
🎸,Guitar,band rehearsal time
❤️,Red Heart,sweetheart
✨,Sparkles,magic trick
⌚,Watch,punctuality
🙄,Face with Rolling Eyes,frustration vibes
🚂,Locomotive,steam locomotive
🤔,Thinking Face,pondering life
🎈,Balloon,flying
🧹,Broom,room
📑,Bookmark Tabs,study
📓,Notebook,take notes
✈️,Airplane,soaring airplane
🔋,Battery,rechargeable source
📍,Round Pushpin,pin
🧭,Compass,gear compass
📍,Round Pushpin,mark point
🏠,House,building
🧬,DNA,helix dna
🍷,Wine Glass,glass
🏠,House,house building
🧼,Soap,foam soap
💀,Skull,dead laughing
❄️,Snowflake,winter wonderland
💊,Pill,prescription pill
🍦,Soft Serve,dessert
🔋,Battery,battery life
🛋️,Couch and Lamp,design couch
📏,Straight Ruler,edge ruler
💔,Broken Heart,unrequited vibes
🌡️,Thermometer,health
🎁,Wrapped Gift,gift delivery
🍰,Shortcake,party cake
🍕,Pizza,ordering pizza
☀️,Sun,heat
💰,Money Bag,currency bag
❄️,Snowflake,unique snow pattern
🍕,Pizza,favorite fast food
🚽,Toilet,bathroom
😎,Smiling Face with Sunglasses,beach day
⌛,Hourglass Done,period of time
🌧️,Cloud with Rain,raining outside
💀,Skull,tired
🔒,Locked,heavy metal bolt
😍,Smiling Face with Heart-Eyes,in love
❄️,Snowflake,falling snowflake
🚗,Automobile,car vehicle
🍦,Soft Serve,kids treat
🥳,Partying Face,cheers
😭,Loudly Crying Face,sad story
🍷,Wine Glass,red wine
🔔,Bell,bell alert
💻,Laptop,tech
🔥,Fire,spicy food
📚,Books,books study
☕,Hot Beverage,caffeine hot
🕯️,Candle,candle melting
🌈,Rainbow,magic arc
🐶,Dog Face,pet dog
🤡,Clown Face,weird
🐱,Cat Face,fur
⚽,Soccer Ball,football
📏,Straight Ruler,drawing
🏠,House,residential property
😍,Smiling Face with Heart-Eyes,seeing stars
🖋️,Fountain Pen,ink flow
🐶,Dog Face,puppy
⚽,Soccer Ball,soccer field
💻,Laptop,internet laptop
🏀,Basketball,court
⌛,Hourglass Done,hourglass time
🚗,Automobile,car road
🔒,Locked,access
🛁,Bathtub,home spa
🔋,Battery,energy
🧸,Teddy Bear,bear toy
🤣,Rolling on the Floor Laughing,joyful laughter
💔,Broken Heart,sad and lonely
👍,Thumbs Up,positive
🚗,Automobile,personal red vehicle
📓,Notebook,blank
🛋️,Couch and Lamp,lounge furniture
💊,Pill,drug treatment
📓,Notebook,records
🍔,Hamburger,tasty
⌛,Hourglass Done,gravity sand
🌍,Globe Showing Europe-Africa,earth globe
💰,Money Bag,profit
🎾,Tennis,game tennis
🚂,Locomotive,train history
📍,Round Pushpin,map mark
📸,Camera with Flash,visual arts work
🚲,Bicycle,outdoor exercise
🛁,Bathtub,cleaning bath
😂,Face with Tears of Joy,so funny i can't breathe
✏️,Pencil,hand writing
🏀,Basketball,excitement
⌚,Watch,track watch
❤️,Red Heart,deep affection and care
🔒,Locked,locked door
🧬,DNA,life sciences
🚗,Automobile,steering
📓,Notebook,notes notebook
😎,Smiling Face with Sunglasses,trendy style
🍰,Shortcake,bakery cake
❤️,Red Heart,love is in the air
🚀,Rocket,blast space
😂,Face with Tears of Joy,comedy gold
🔨,Hammer,building with tools
🍕,Pizza,slice of cheesy pepperoni
👍,Thumbs Up,work
🏠,House,place of rest
🥗,Green Salad,nutritious plant bowl
💀,Skull,ghost head
✂️,Scissors,sharp metal blades
🚗,Automobile,traffic
🌧️,Cloud with Rain,falling water drops
💰,Money Bag,wealthy bag
🌡️,Thermometer,temperature thermometer
⚽,Soccer Ball,global
🤡,Clown Face,creepy clown vibes
🐱,Cat Face,face
🎸,Guitar,rehearsal guitar
⌛,Hourglass Done,task
🛁,Bathtub,bathtub wash
🌧️,Cloud with Rain,water rain
🛏️,Bed,bed mattress
🥳,Partying Face,confetti time
🛋️,Couch and Lamp,sofa livingroom
🖼️,Framed Picture,wall painting
💡,Light Bulb,yellow bulb
🥗,Green Salad,lettuce
🌍,Globe Showing Europe-Africa,space earth
📍,Round Pushpin,geo spot
☀️,Sun,outdoor weather
✨,Sparkles,fairy tales
💀,Skull,skeleton man
🧼,Soap,hands
😭,Loudly Crying Face,feeling low
🕰️,Mantelpiece Clock,decor
📓,Notebook,notebook
💰,Money Bag,wealth
🔌,Electric Plug,energy connection
❄️,Snowflake,snowflake ice
✈️,Airplane,international flight
🖋️,Fountain Pen,writing
🍎,Red Apple,vitamins
✏️,Pencil,drawing pencil
❤️,Red Heart,my valentine
💀,Skull,vibes
🧸,Teddy Bear,soft toy
🗺️,World Map,navigation
🛏️,Bed,furniture
🛳️,Passenger Ship,large boat deck
🥗,Green Salad,raw salad
💻,Laptop,tasks
📚,Books,books stack
🧹,Broom,bristles and dirt
🎁,Wrapped Gift,reward
🔋,Battery,bar
🐱,Cat Face,kitty
💔,Broken Heart,my heart is aching
🚗,Automobile,travel car
📍,Round Pushpin,destination mark
🔒,Locked,safe lock
🔦,Flashlight,handheld
📱,Mobile Phone,touch screen device
🔭,Telescope,telescope stars
🖋️,Fountain Pen,fountain pen
⌚,Watch,daily watch
💻,Laptop,software
🧭,Compass,path
🌧️,Cloud with Rain,umbrella rain
🧪,Test Tube,science
🖼️,Framed Picture,frame picture
🏠,House,safe and cozy
🏀,Basketball,professional athlete life
💀,Skull,skull face
🏠,House,family home
❄️,Snowflake,winter snowflake
❤️,Red Heart,heart symbol for best friend
🛏️,Bed,bed night
🍰,Shortcake,slice
🎾,Tennis,game
