Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Myocardial infarction detection based on deep neural network on imbalanced data","Our deep neural network method using focal loss improves myocardial infarction detection accuracy by 9%, enabling fast and reliable diagnosis for cardiologists.","Mohamed Hammad, M. Alkinani, B. B. Gupta, A. El-latif",2021,140,"Myocardial infarction (MI) is an acute interruption of blood flow to the heart, which causes the heart to suffer from a deficiency of blood and ischemia, so the heart muscle is damaged, and cells can die and lose their function. Despite the low incidence of MI in the world, it is still a common disease-causing death. Therefore, detecting the MI signals early can reduce mortality. This paper presented a method based on a deep convolutional neural network (CNN) for the detection of MI automatically. The proposed CNN is an end-to-end model without requiring any stages of machine learning and requires only one stage to detect MI from the input signals. In the case of imbalanced data, we optimize our deep model with a new loss function named the focal loss to deal with this case by constituting the loss indirectly the focus in those difficult classes. The Physikalisch-Technische Bundesanstalt (PTB) dataset was employed in the validation to classify the signals to normal and MI. The performance of our technique alongside state-of-the-art in the area shows an increase in terms of average accuracy and F1 score. Results show that focal loss improves the detection accuracy by 9% for detecting MI signals. In summary, the proposed method achieved an overall accuracy, precision, F1 score, and recall of 98.84%, 98.31%, 97.92%, and 97.63, respectively using focal loss and overall accuracy of 89.72%, a precision of 88.52%, a recall of 81.11% and F1 score of 83.02% without using focal loss. Our method using focal loss is an effective tool to perform a fast and reliable MI diagnosis to assist the cardiologists in detecting MI early.","theoretical, modeling, or simulation study","Multimedia Systems","1","10.1007/s00530-020-00728-8","https://consensus.app/papers/myocardial-infarction-detection-based-on-deep-neural-hammad-alkinani/8a846a2a891353989311f5e618630f98/"
"Supervised Anomaly Detection in Univariate Time-Series Using 1D Convolutional Siamese Networks","ADSiamNet effectively detects and smooths anomalies in time-series data, enhancing data integrity and reliability in decision-making.","A. Chatterjee, V. Thambawita, M. Riegler, Pål Halvorsen",2025,3,"In time-series data analysis, identifying anomalies is crucial for maintaining data integrity and ensuring accurate analyses and decision-making. Anomalies can compromise data quality and operational efficiency. The complexity of time-series data, with its temporal dependencies and potential non-stationarity, makes anomaly detection challenging but essential. Our research introduces ADSiamNet, a 1D Convolutional Neural Network-based Siamese network model for anomaly detection and rectification. ADSiamNet effectively identifies localized patterns in time-series data and smooths detected anomalies using a quantile-based technique. In tests with physical activity data from Actigraph watches and MOX2-5 sensors, ADSiamNet achieved accuracies of 98.65% and 85.0%, respectively, outperforming other supervised anomaly detection methods. The model uses a contrastive loss function to compare input sequences and adjusts network weights iteratively during training to recognize intricate patterns. Additionally, we evaluated various univariate time-series forecasting algorithms on datasets with and without anomalies. Results show that anomaly-smoothed data reduces forecasting errors, highlighting our approach’s effectiveness in enhancing time-series data analysis’s integrity and reliability. Future research will focus on multivariate time-series datasets.","","IEEE Access","1","10.1109/access.2025.3561375","https://consensus.app/papers/supervised-anomaly-detection-in-univariate-timeseries-chatterjee-thambawita/ae790f4c3dae5d568b9d277789bb1813/"
"Unified Focal loss: Generalising Dice and cross entropy-based losses to handle class imbalanced medical image segmentation","The Unified Focal loss is a robust loss function for medical image segmentation, outperforming other loss functions in handling class imbalance and improving model convergence.","Michael Yeung, E. Sala, C. Schönlieb, L. Rundo",2021,676,"","","Computerized Medical Imaging and Graphics","1","10.1016/j.compmedimag.2021.102026","https://consensus.app/papers/unified-focal-loss-generalising-dice-and-cross-yeung-sala/e0038d67b5ad54b296d4a82b3bd539d1/"
"Deep Convolutional Clustering-Based Time Series Anomaly Detection","The proposed deep autoencoder architecture with Top-K clustering improves anomaly detection in industrial processes compared to standard autoencoder architectures.","Gavneet Singh Chadha, Intekhab Islam, A. Schwung, S. Ding",2021,39,"This paper presents a novel approach for anomaly detection in industrial processes. The system solely relies on unlabeled data and employs a 1D-convolutional neural network-based deep autoencoder architecture. As a core novelty, we split the autoencoder latent space in discriminative and reconstructive latent features and introduce an auxiliary loss based on k-means clustering for the discriminatory latent variables. We employ a Top-K clustering objective for separating the latent space, selecting the most discriminative features from the latent space. We use the approach to the benchmark Tennessee Eastman data set to prove its applicability. We provide different ablation studies and analyze the method concerning various downstream tasks, including anomaly detection, binary and multi-class classification. The obtained results show the potential of the approach to improve downstream tasks compared to standard autoencoder architectures.","theoretical, modeling, or simulation study","Sensors (Basel, Switzerland)","1","10.3390/s21165488","https://consensus.app/papers/deep-convolutional-clusteringbased-time-series-anomaly-chadha-islam/ae5d0c77c7835289a51d1c2e0d26fd23/"
"Automatically weighted focal loss for imbalance learning","Dynamic Weighted Focal Loss (DWFL) effectively reduces bias in multi-class imbalanced learning by automatically weighting less-learned classes and more-learned ones based on previous results.","Nasibeh Mahmoodi, Hossein Shirazi, Mohammad Fakhredanesh, Koroush DadashtabarAhmadi",2024,13,"In the context of class-imbalanced learning, most CNN-based classification algorithms encounter the problem of majority class gradient dominance, which makes them susceptible to bias toward the majority class. It is the consequence of the underlying assumption that the costs of misclassification are equivalent and that the class distribution is reasonably balanced. A standard way for dealing with the data imbalance is by using a loss function that favors the minority class. A constant weight is considered for each class in the loss function, which is generally inversely related to the number of instances in the class. In this paper, for multi-class imbalanced learning, we proposed Dynamic Weighted Focal Loss (DWFL), which determined the weight of each class for the next epoch automatically based on the classifier’s results in all previous epochs. In this way, the better-learned class weighed less, and the less-learned class weighed more. Additionally, the application of focus loss reduced the importance of simple samples while increasing the importance of hard ones compared to cross-entropy. The experiments on several imbalanced datasets revealed that the performance of our suggested strategy (DWFL) is superior to that of previous resampling or reweighting methods with imbalanced classes. The experimental findings demonstrate the efficacy and convergence of the proposed methodology.","theoretical, modeling, or simulation study","Neural Computing and Applications","1","10.1007/s00521-024-10323-x","https://consensus.app/papers/automatically-weighted-focal-loss-for-imbalance-learning-mahmoodi-shirazi/ee5a3ac2ca2359a58c62d308533603e2/"
"Multi-Modal CNN–GNN Hybrid Architecture for Early Prediction of Power, Delay, and Slack in VLSI Design","The multi-modal hybrid architecture combining Convolutional Neural Networks and Graph Neural Networks improves early prediction of key performance metrics in VLSI design, reducing iteration cycles and accelerating timing closure.","Burada Kusuma Kumar Naidu",2026,0,"Design closure in modern VLSI circuits demands accurate prediction of key performance metrics such as Power, Delay, and Slack early in the design cycle. This paper presents a novel multi-modal hybrid architecture that integrates Convolutional Neural Networks (CNNs) with Graph Neural Networks (GNNs) through an adaptive gated fusion mechanism. Our model leverages the complementary strengths of CNNs in capturing spatial layout features and GNNs in modeling structural netlist dependencies to enable concurrent and reliable prediction of these critical metrics. By combining physical layout data and circuit connectivity information, the proposed architecture provides a more holistic understanding of circuit behavior, allowing for earlier and more precise design decisions.The adaptive gated fusion dynamically balances contributions from both networks on a per-sample basis, improving robustness and generalization across diverse designs. Extensive experiments demonstrate the model’s superior performance compared to standalone CNN or GNN approaches, with significant improvements in prediction accuracy and efficiency. Early-stage accurate predictions aim to reduce costly iteration cycles in Electronic Design Automation (EDA) workflows and accelerate the timing closure process. This work contributes an important advancement towards AI-driven VLSI design automation by enhancing early reliability and power estimations critical for next-generation semiconductor technologies.","theoretical, modeling, or simulation study","2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT)","","10.1109/icoecit68303.2026.11497246","https://consensus.app/papers/multimodal-cnn%E2%80%93gnn-hybrid-architecture-for-early-naidu/278b1a3e8f315a798089ead37aa935cb/"
"Overview of the OpenROAD Digital Design Flow from RTL to GDS","OpenROAD is an open-source digital design flow that reduces cost, expertise, schedule, and risk barriers for system designers by incorporating physical synthesis, floorplanning, placement, clock tree synthesis, global routing, and detailed routing tools.","S. Reda",2020,8,"In this talk, we review the current status of OpenROAD, which is an open-source end-to-end silicon compiler. The goal of OpenROAD is to reduce cost, expertise, schedule and risk barriers that face system designers today. The open-source flow builds around an industrial strength open-source design database, and incorporates a number of design tools that include physical synthesis synthesis, floorplanning, placement, clock tree synthesis, global routing and detailed routing. The flow also incorporates analysis and support tools for static timing analysis, parasitic extraction, power integrity analysis, and cloud deployment. The entire flow can be customized through scripting and enables users to experiment with various tool options and optimizations.","other","","","10.1109/vlsi-dat49148.2020.9196319","https://consensus.app/papers/overview-of-the-openroad-digital-design-flow-from-rtl-to-gds-reda/1c4caf5645bb582e85df6b8bded929f7/"
"A GNN-Based Placement Optimization Guidance Framework by Physical and Timing Prediction","The proposed placement optimization guidance framework using graph neural networks significantly improves placement quality and reduces violating paths, leading to improved performance, power, and area in physical design.","Peng Cao, Zhi Li, Wenjie Ding",2025,3,"Placement is crucial in physical design flow with significant impact on later routability and ultimate manufacturability in terms of performance, power, and area (PPA), which may deviate from finding the optimal solution and/or lead to unnecessary iterations suffering from interleaved optimization steps and inaccurate PPA estimation. To solve this issue, we propose a physical- and timing-related placement optimization guidance framework which provides candidate gate sizing and buffer insertion solutions as well as a path group for potential violated paths based on graph neural networks (GNNs) to improve placement quality significantly and efficiently. Experimental results on the OpenCores benchmarks with 22 nm technology demonstrate that the proposed placement optimization guidance framework achieves up to 35.66% and 43.51% worst negative slack (WNS) and total negative slack (TNS) improvement and 52.17% reduction in the number of violating paths (NVP), which is beneficial to later routing stages with 2.33% wirelength decrease.","theoretical, modeling, or simulation study","Electronics","2","10.3390/electronics14020329","https://consensus.app/papers/a-gnnbased-placement-optimization-guidance-framework-by-cao-li/c09e0685c1da5b08ab59111f803eb989/"
"EDA-schema: A Graph Datamodel Schema and Open Dataset for Digital Design Automation","EDA-schema provides a structured framework for representing datasets for digital design automation, improving interoperability and comparability in machine learning-driven research in digital circuit design.","Pratik Shrestha, Alec Aversa, Saran Phatharodom, Ioannis Savidis",2024,17,"The growing complexity of very large-scale integrated (VLSI) circuits due to CMOS technology scaling has led to an increased interest in utilizing machine learning (ML) techniques for design automation. However, the lack of available datasets and established standards for the representation of datasets presents substantial challenges within the research community. Of particular concern is the lack of interoperability and comparability of ML-driven research in the design of digital circuits, which effectively limits collaboration. In this paper, EDA-schema, an open and comprehensive graph schema, is introduced to address such challenges by providing a structured framework for representing datasets for digital design automation. The schema represents the physical attributes and quality-of-results (QoR) metrics of a circuit across various stages of the physical design flow, including logical synthesis, floorplanning, placement, clock network synthesis, and global and local routing. Utilizing the Skywater 130 nm process design kit (PDK) and the OpenROAD toolset, a dataset of physical designs is generated and analyzed based on the circuits from the IWLS’05 benchmark suite. The dataset is made publicly available, anticipating contributions that further advance the field of ML-driven digital design.","other","Proceedings of the Great Lakes Symposium on VLSI 2024","","10.1145/3649476.3658718","https://consensus.app/papers/edaschema-a-graph-datamodel-schema-and-open-dataset-for-shrestha-aversa/df39b4a1609f56b0b1660465e44847cb/"
"Generative Adversarial Network with Soft-Dynamic Time Warping and Parallel Reconstruction for Energy Time Series Anomaly Detection","Our DCGAN-based method effectively detects anomalies in energy time series data, identifying energy consumption anomalies in buildings.","H. Prabhu, J. Valadi, P. Arjunan",2024,4,"In this paper, we employ a 1D deep convolutional generative adversarial network (DCGAN) for sequential anomaly detection in energy time series data. Anomaly detection involves gradient descent to reconstruct energy sub-sequences, identifying the noise vector that closely generates them through the generator network. Soft-DTW is used as a differentiable alternative for the reconstruction loss and is found to be superior to Euclidean distance. Combining reconstruction loss and the latent space's prior probability distribution serves as the anomaly score. Our novel method accelerates detection by parallel computation of reconstruction of multiple points and shows promise in identifying anomalous energy consumption in buildings, as evidenced by performing experiments on hourly energy time series from 15 buildings.","theoretical, modeling, or simulation study","ArXiv","","10.48550/arxiv.2402.14384","https://consensus.app/papers/generative-adversarial-network-with-softdynamic-time-prabhu-valadi/3838246a365f5d82b5fb53c74426383d/"
