Emoji,Unicode Name,Description
🤣,Rolling on the Floor Laughing,rofl laughing hard
🔭,Telescope,observatory tool
🚂,Locomotive,historical travel
🛳️,Passenger Ship,large boat deck
🎈,Balloon,party supply
🗺️,World Map,explorer's tool
📈,Chart Increasing,hitting new heights
🚿,Shower,shower head
🚿,Shower,cleaning yourself
🤡,Clown Face,a total joke
🧺,Basket,handle and weave
❄️,Snowflake,falling white snow
🌡️,Thermometer,measuring temperature
🚪,Door,indoor entrance
🚪,Door,portal to house
🎾,Tennis,professional tennis tour
🔌,Electric Plug,male plug
🧸,Teddy Bear,soft toy bear
🗺️,World Map,continents and oceans
📚,Books,learning and education
🔥,Fire,blazing fire and heat
🎁,Wrapped Gift,holiday season giving
✈️,Airplane,departing on trip
❄️,Snowflake,chilly outdoor temp
🍷,Wine Glass,pouring the wine
💡,Light Bulb,bright light shining
😍,Smiling Face with Heart-Eyes,i absolutely adore this
🔋,Battery,rechargeable source
🔨,Hammer,wood working tool
👍,Thumbs Up,positive feedback given
🍎,Red Apple,classic garden fruit
🧪,Test Tube,clear glass tube
🏠,House,residential property
🛁,Bathtub,warm bath
🔋,Battery,portable energy
🥳,Partying Face,having a great time
🥳,Partying Face,special occasion celebration
🏠,House,real estate asset
🗺️,World Map,world view
💡,Light Bulb,i have an idea
🏀,Basketball,court and jersey
🔦,Flashlight,search tool
✨,Sparkles,a touch of magic
🧪,Test Tube,laboratory glass
🍕,Pizza,delicious melted cheese
🧬,DNA,life sciences
✨,Sparkles,cleaning and glowing
😂,Face with Tears of Joy,laughing so hard I am crying
🔬,Microscope,magnification lens
📑,Bookmark Tabs,sticky tabs
🙄,Face with Rolling Eyes,dismissive facial expression
🕰️,Mantelpiece Clock,ticking clock
💔,Broken Heart,deep emotional pain
🧺,Basket,farm harvest
🎁,Wrapped Gift,reward package
✏️,Pencil,erasable writing tool
📱,Mobile Phone,mobile app usage
🛳️,Passenger Ship,sailing on ocean
🔔,Bell,classic metal bell
🍎,Red Apple,vitamins and fiber
🛁,Bathtub,soaking in water
🍦,Soft Serve,white cream treat
🔔,Bell,school bell ring
🎈,Balloon,light and airy
🛏️,Bed,bedroom item
📓,Notebook,taking minutes
📈,Chart Increasing,stock market going up
🎁,Wrapped Gift,wrapped mystery
🔋,Battery,alkaline battery
🥳,Partying Face,confetti and joy
🤡,Clown Face,joking around foolishly
🍷,Wine Glass,deep red liquid
😴,Sleeping Face,drifting off to sleep
🛋️,Couch and Lamp,lounge furniture
🥗,Green Salad,nutritious plant bowl
🧹,Broom,sweeping up dust
🌈,Rainbow,after the rain
🕯️,Candle,melting candle wax
🔬,Microscope,small detail view
😎,Smiling Face with Sunglasses,keeping it chill
👍,Thumbs Up,yes that is correct
🎈,Balloon,string and balloon
🍺,Beer Mug,celebration with alcohol
🧬,DNA,biological helix
🍷,Wine Glass,elegant dinner party
⚽,Soccer Ball,playing football match
💻,Laptop,technology and internet
😂,Face with Tears of Joy,rolling on the floor laughing
✂️,Scissors,haircutting tool
📡,Satellite Antenna,modern tech
🔑,Key,secret to life
😴,Sleeping Face,snoring while resting
😭,Loudly Crying Face,crying my eyes out
🧹,Broom,manual cleaning
🐶,Dog Face,wagging tail friend
🌍,Globe Showing Europe-Africa,global community
🛋️,Couch and Lamp,relaxing at home
📈,Chart Increasing,positive trend line
🍰,Shortcake,slice of cake
🌧️,Cloud with Rain,grey sky rain
📡,Satellite Antenna,signal transmission
💊,Pill,chemical medicine
✨,Sparkles,shining like a star
🍷,Wine Glass,romantic evening toast
📓,Notebook,writing notes
🖼️,Framed Picture,home decoration
📸,Camera with Flash,photography hobby
📂,Open File Folder,holding data
❄️,Snowflake,delicate ice design
📑,Bookmark Tabs,tab markers
🍔,Hamburger,juicy beef burger
🥳,Partying Face,happy birthday party
🎸,Guitar,acoustic string instrument
📏,Straight Ruler,precision tool
🔌,Electric Plug,electricity source
🙏,Folded Hands,a gesture of gratitude
🎁,Wrapped Gift,opening a present
⌛,Hourglass Done,temporal symbol
🚿,Shower,bathroom plumbing
🔥,Fire,super hot trending topic
😎,Smiling Face with Sunglasses,sunny day at beach
🛋️,Couch and Lamp,home decor
📍,Round Pushpin,fixed location mark
🥪,Sandwich,quick tasty lunch
💀,Skull,spooky skeleton head
🖋️,Fountain Pen,fancy stationary
🙏,Folded Hands,please do me a favor
🐶,Dog Face,man's best friend
🚀,Rocket,blast off to space
🖋️,Fountain Pen,elegant pen
🚗,Automobile,four door sedan
🎁,Wrapped Gift,birthday gift box
🕯️,Candle,scent and aroma
🎈,Balloon,flying in air
🔨,Hammer,driving a nail
💡,Light Bulb,brilliant mental spark
📍,Round Pushpin,destination set
🔑,Key,key to success
🤣,Rolling on the Floor Laughing,losing it from laughter
📸,Camera with Flash,snapping a shot
🔔,Bell,dinner is ready
❤️,Red Heart,pure love and light
😭,Loudly Crying Face,sobbing uncontrollably
❄️,Snowflake,unique snow pattern
📸,Camera with Flash,memories in photos
✏️,Pencil,school stationary
💀,Skull,morbid but funny
✂️,Scissors,creative hobby
🌍,Globe Showing Europe-Africa,saving the planet
⌛,Hourglass Done,gravity and sand
🌍,Globe Showing Europe-Africa,geography and maps
🚽,Toilet,flushing water
🌡️,Thermometer,fever and health
🔋,Battery,electrical storage
🖼️,Framed Picture,painting in frame
🧬,DNA,science and life
🕯️,Candle,religious vigil
📈,Chart Increasing,moving in right direction
🚽,Toilet,restroom facility
✏️,Pencil,writing and drawing
🎾,Tennis,athletic hobby
🍔,Hamburger,cheeseburger with fries
🧸,Teddy Bear,childhood memory
🧭,Compass,navigation instrument
🧼,Soap,washing hands
📍,Round Pushpin,let us meet here
📏,Straight Ruler,drawing accurate lines
🤣,Rolling on the Floor Laughing,laughing until it hurts
📍,Round Pushpin,specific place found
🔬,Microscope,medical testing
🔋,Battery,charging up
🤔,Thinking Face,considering all the options
🐱,Cat Face,independent pet animal
😍,Smiling Face with Heart-Eyes,i am lovestruck
🕰️,Mantelpiece Clock,antique time
🙏,Folded Hands,namaste greeting
🧹,Broom,sweeping the room
🚪,Door,privacy and entry
🔥,Fire,stay spicy and hot
🏀,Basketball,bouncing the ball
🏀,Basketball,dribbling the rock
🚀,Rocket,ambitious goals
🎁,Wrapped Gift,thoughtful offering
🙄,Face with Rolling Eyes,that is so boring
🍰,Shortcake,celebrating with sweets
🔦,Flashlight,portable lamp
🪒,Razor,sharp edge
👍,Thumbs Up,good job well done
🍦,Soft Serve,creamy cone
📓,Notebook,spiral bound
🤣,Rolling on the Floor Laughing,peak comedy moment
🛁,Bathtub,bubbles and soap
🍺,Beer Mug,weekend party drink
💰,Money Bag,profit and earnings
🎁,Wrapped Gift,festive box
😎,Smiling Face with Sunglasses,looking sharp today
✏️,Pencil,hand writing
🧼,Soap,staying clean
🍎,Red Apple,teacher's pet gift
🎁,Wrapped Gift,generous gesture
🛋️,Couch and Lamp,soft cushions
🪒,Razor,bathroom accessory
🤔,Thinking Face,skeptical and thinking
👍,Thumbs Up,confirm the message
📍,Round Pushpin,pin on the map
🧭,Compass,magnetic compass
🎾,Tennis,net and baseline
😍,Smiling Face with Heart-Eyes,crushing on this look
💊,Pill,healthcare treatment
🚀,Rocket,launching a new project
☕,Hot Beverage,warm liquid drink
🖋️,Fountain Pen,calligraphy tool
🔌,Electric Plug,charging device
❄️,Snowflake,cold winter weather
🍦,Soft Serve,melting in the sun
🔋,Battery,portable power
🚿,Shower,falling water drops
🥗,Green Salad,clean eating lifestyle
✂️,Scissors,school project tool
🚂,Locomotive,long distance rail
📑,Bookmark Tabs,document tags
🥪,Sandwich,snack on go
🛋️,Couch and Lamp,watching tv
🧺,Basket,picnic food carrier
📚,Books,school supplies
🤡,Clown Face,making a mockery
🌍,Globe Showing Europe-Africa,global world view
🥪,Sandwich,prepared cold meal
🗺️,World Map,geography study
🔭,Telescope,science of stars
🛏️,Bed,lying down
🏠,House,architecture and roof
💀,Skull,humorously dying right now
🏮,Red Paper Lantern,festive light
🎈,Balloon,floating party decoration
💊,Pill,medical capsule
🏠,House,safe and cozy
🛳️,Passenger Ship,crossing the sea
⌛,Hourglass Done,time is up
⌛,Hourglass Done,ancient timer
🛳️,Passenger Ship,luxury cruise ship
🌧️,Cloud with Rain,falling water drops
🎸,Guitar,electric guitar solo
🔦,Flashlight,camping gear
🕰️,Mantelpiece Clock,shelf ornament
🔬,Microscope,scientific research
✏️,Pencil,graphite lead tip
🔋,Battery,full energy cell
🗺️,World Map,planning a trip
🚂,Locomotive,smoke from funnel
❤️,Red Heart,deep affection and care
💀,Skull,scary ghost vibes
🕰️,Mantelpiece Clock,living room decor
🔨,Hammer,construction work
📑,Bookmark Tabs,finding spot
✈️,Airplane,airport and runway
🏀,Basketball,orange sports ball
🤔,Thinking Face,hmm not quite sure
🐱,Cat Face,animal with claws
💔,Broken Heart,my heart is aching
😎,Smiling Face with Sunglasses,cool as ice
☀️,Sun,warmth and light
🌧️,Cloud with Rain,umbrella needed now
🎁,Wrapped Gift,ribbon and bow
🏠,House,indoor living space
😍,Smiling Face with Heart-Eyes,so pretty and perfect
🎁,Wrapped Gift,giving a gift
🧸,Teddy Bear,nursery decor
⌚,Watch,wrist watch device
❤️,Red Heart,classic red heart shape
🎁,Wrapped Gift,generous offer
🔥,Fire,things are heating up
⚽,Soccer Ball,exercise and fun
📡,Satellite Antenna,dish antenna
🌡️,Thermometer,glass tube measure
🍦,Soft Serve,frozen dessert
❤️,Red Heart,i love this so much
🍦,Soft Serve,ice cream cone
🕯️,Candle,emergency light
🐶,Dog Face,furry animal companion
📈,Chart Increasing,business is doing well
🧭,Compass,finding north
💰,Money Bag,making lots of money
🛳️,Passenger Ship,giant ship hull
📸,Camera with Flash,professional photographer
🛏️,Bed,comfortable sleep
🚗,Automobile,wheels and engine
📸,Camera with Flash,bright flash light
🙄,Face with Rolling Eyes,are you serious
🌧️,Cloud with Rain,raining outside
🔌,Electric Plug,turning on
🔔,Bell,sound of music
❤️,Red Heart,my heart is full
🌈,Rainbow,variety and diversity
🚗,Automobile,garage parked car
🔦,Flashlight,handheld light
🌈,Rainbow,bright and happy
🙏,Folded Hands,deep appreciation and thanks
🥳,Partying Face,celebrating a big win
🥪,Sandwich,toasted bread slices
🚗,Automobile,transport on road
🧺,Basket,laundry basket
🧼,Soap,slippery and wet
✈️,Airplane,international flight
📂,Open File Folder,office work
🐱,Cat Face,meowing for food
📂,Open File Folder,project documents
🏮,Red Paper Lantern,celebration decor
🖋️,Fountain Pen,artist tool
🚽,Toilet,sanitation
🧹,Broom,household chore
🚗,Automobile,traffic and commute
🙄,Face with Rolling Eyes,eye roll for sarcasm
🍺,Beer Mug,craft beer taste
🔒,Locked,firmly shut lock
🔑,Key,unlocking the door
❤️,Red Heart,the symbol of love
📡,Satellite Antenna,receiving signals
🍰,Shortcake,sweet dessert treat
📓,Notebook,daily diary
👍,Thumbs Up,i agree with you
💊,Pill,taking medicine
🍔,Hamburger,dinner to go
📑,Bookmark Tabs,reading helper
✈️,Airplane,taking a flight
🔋,Battery,electric power
🐶,Dog Face,friendly pet face
📱,Mobile Phone,electronic gadget
🚂,Locomotive,old steam train
🚽,Toilet,private room
🛳️,Passenger Ship,floating hotel
🍰,Shortcake,fluffy baked cake
🎾,Tennis,sports exercise
🌧️,Cloud with Rain,cold rainy weather
🛁,Bathtub,cleaning time
🛋️,Couch and Lamp,interior design
🍷,Wine Glass,red wine drink
🪒,Razor,smooth skin
🚂,Locomotive,transport history
🔦,Flashlight,emergency light
☀️,Sun,shining yellow star
☀️,Sun,bright sunny day
🔌,Electric Plug,power cord
🍕,Pizza,junk food for dinner
💊,Pill,small drug pill
🔌,Electric Plug,energy connection
💰,Money Bag,hitting the jackpot
🔭,Telescope,lens and tripod
🍦,Soft Serve,dessert for kids
☕,Hot Beverage,cozy drink time
🚲,Bicycle,cycling for health
🎸,Guitar,talented guitar player
🔑,Key,finding the answer
🚂,Locomotive,heavy metal train
🛋️,Couch and Lamp,sitting in livingroom
🎸,Guitar,strumming the chords
🧼,Soap,germ killer
🎾,Tennis,serve and volley
🧹,Broom,cleaning tool
📂,Open File Folder,data folder
🔬,Microscope,laboratory equipment
📑,Bookmark Tabs,study aid
🎁,Wrapped Gift,holiday surprise
🔭,Telescope,looking at stars
🔨,Hammer,repair and fix
📍,Round Pushpin,geographic point
🚗,Automobile,travel by motor
🍦,Soft Serve,treat for kids
🔭,Telescope,sky exploration
📓,Notebook,office supply
❤️,Red Heart,passion and romance
🧹,Broom,cleaning the floor
🕯️,Candle,old fashioned lamp
✈️,Airplane,flying on vacation
🔦,Flashlight,battery torch
📚,Books,love for reading
🍦,Soft Serve,delicious soft cream
🍦,Soft Serve,white cream swirl
🍦,Soft Serve,melting cold snack
🔭,Telescope,distant object view
✏️,Pencil,yellow wooden pencil
💊,Pill,pharmacy item
🍺,Beer Mug,cheers with friends
🍰,Shortcake,strawberry and cream
📍,Round Pushpin,found the area
🙏,Folded Hands,thank you so much
🍺,Beer Mug,social drinking time
🔔,Bell,golden bell shape
🥪,Sandwich,healthy bread layers
🍦,Soft Serve,cooling down with sugar
🖼️,Framed Picture,wall decor
🙄,Face with Rolling Eyes,disbelief and frustration
🐱,Cat Face,curious feline face
📓,Notebook,blank pages
🤣,Rolling on the Floor Laughing,extreme humor and joy
🔌,Electric Plug,hardware cord
🍎,Red Apple,apple a day
☀️,Sun,outdoor weather
📏,Straight Ruler,inches and cm
🔌,Electric Plug,hardware plug
🔨,Hammer,manual labor
😊,Smiling Face with Smiling Eyes,simple joy and happiness
🧭,Compass,directional tool
🛏️,Bed,furniture set
🏮,Red Paper Lantern,decorative lamp
🌧️,Cloud with Rain,storm and clouds
💻,Laptop,typing on keyboard
🔑,Key,metal door key
🎈,Balloon,celebration symbol
🚪,Door,wooden door frame
💰,Money Bag,financial success
🔌,Electric Plug,electrical outlet
📚,Books,knowledge source
🛁,Bathtub,taking a bath
🍺,Beer Mug,cold lager mug
😴,Sleeping Face,long day need nap
😊,Smiling Face with Smiling Eyes,glowing with inner peace
🪒,Razor,cutting hair
🔋,Battery,energy storage
💡,Light Bulb,smart thinking moment
🚲,Bicycle,human powered vehicle
🔥,Fire,on a hot streak
☕,Hot Beverage,relaxing with tea
✈️,Airplane,passenger jet plane
📡,Satellite Antenna,tv broadcast
🌡️,Thermometer,degree of heat
🍎,Red Apple,forbidden fruit story
🍔,Hamburger,classic american food
😎,Smiling Face with Sunglasses,smooth and relaxed vibe
📑,Bookmark Tabs,organization tool
🔥,Fire,great job on the win
🎸,Guitar,concert on stage
🍕,Pizza,tomato sauce and crust
🎾,Tennis,racket and court
📸,Camera with Flash,capturing the moment
🧬,DNA,research medicine
💡,Light Bulb,glowing yellow light
🧼,Soap,bathroom supply
🚀,Rocket,taking off into the sky
🍔,Hamburger,fast food meal
🚲,Bicycle,riding a bike
😭,Loudly Crying Face,heartbroken and devastated
⌛,Hourglass Done,end of task
✨,Sparkles,shimmering in the sun
💊,Pill,health and wellness
💔,Broken Heart,end of a relationship
🚲,Bicycle,bike path ride
😴,Sleeping Face,exhausted and out
🍔,Hamburger,tasty sandwich
📂,Open File Folder,keeping records
🧼,Soap,bubbles and foam
😎,Smiling Face with Sunglasses,feeling cool and confident
🚽,Toilet,plumbing and water
🧭,Compass,path finding
🙄,Face with Rolling Eyes,i am so annoyed
🧭,Compass,explorer's kit
🥗,Green Salad,vegan meal option
🍦,Soft Serve,snack at the beach
🛁,Bathtub,relaxation spot
🖋️,Fountain Pen,writing letters
🖼️,Framed Picture,artistic expression
🎁,Wrapped Gift,reward for success
🐱,Cat Face,pointy cat ears
🙄,Face with Rolling Eyes,totally unimpressed
🔋,Battery,device power
🌍,Globe Showing Europe-Africa,international news
🛏️,Bed,furniture for rest
🚲,Bicycle,pedaling on road
🍦,Soft Serve,sweet summer treat
🔌,Electric Plug,wall plug wire
🥳,Partying Face,loud cheers and fun
🔨,Hammer,building with tools
🤡,Clown Face,you are being silly
🧪,Test Tube,chemical reaction
🕯️,Candle,warm glowing light
🔒,Locked,digital security
🥗,Green Salad,eating fresh greens
🍺,Beer Mug,frothy beer foam
📱,Mobile Phone,calling and texting
😴,Sleeping Face,time to go to bed
🎁,Wrapped Gift,wrapped with a ribbon
🧪,Test Tube,lab worker
🌍,Globe Showing Europe-Africa,earth from space
🤡,Clown Face,scary circus clown
🤡,Clown Face,someone acting like a fool
🥳,Partying Face,party animal mode
🍕,Pizza,ordering a large pie
😭,Loudly Crying Face,emotional wreck right now
☀️,Sun,clear blue sky
🔌,Electric Plug,powering the machine
🧭,Compass,needle and dial
💔,Broken Heart,shattered love and trust
🤡,Clown Face,circus performer
🔋,Battery,electricity
🌈,Rainbow,hope and pride
✂️,Scissors,sewing and craft
🚀,Rocket,going to the moon
🍔,Hamburger,lunch time cravings
🛏️,Bed,mattress and pillow
🤔,Thinking Face,questioning the logic
🧸,Teddy Bear,comfort toy
📡,Satellite Antenna,communication tower
⌚,Watch,formal wrist wear
🍰,Shortcake,delicious sugar treat
💔,Broken Heart,sad and lonely
👍,Thumbs Up,i approve of this
🛳️,Passenger Ship,water transport
📏,Straight Ruler,plastic or wood
😭,Loudly Crying Face,tears streaming down face
🚿,Shower,refreshing bath
💔,Broken Heart,unrequited love
🪒,Razor,shaving facial hair
😊,Smiling Face with Smiling Eyes,a warm friendly smile
🙄,Face with Rolling Eyes,feeling impatient right now
🤔,Thinking Face,what do you mean
🔥,Fire,performing really well right now
📚,Books,academic research
📈,Chart Increasing,profits are rising
🏠,House,place of rest
💻,Laptop,browsing the web
😴,Sleeping Face,quiet and resting
🌈,Rainbow,a sign of wonder
🛏️,Bed,soft bed sheets
🔌,Electric Plug,charging cable
🚿,Shower,getting wet
📈,Chart Increasing,scaling to the top
🤣,Rolling on the Floor Laughing,that is absolutely hysterical
💻,Laptop,online business tasks
📂,Open File Folder,filing system
🙏,Folded Hands,spiritual connection
🚽,Toilet,daily hygiene
🍰,Shortcake,piece of pastry
⌛,Hourglass Done,period of time
🍷,Wine Glass,sophisticated drink
🐶,Dog Face,love for animals
⌛,Hourglass Done,sand glass
🐶,Dog Face,domestic dog breed
🕰️,Mantelpiece Clock,keeping time
🍕,Pizza,cheesy crust pizza
😊,Smiling Face with Smiling Eyes,smiling at the world
🤣,Rolling on the Floor Laughing,completely ridiculous and funny
🚿,Shower,bathroom hygiene
🌈,Rainbow,luck and magic
⌚,Watch,time is ticking
😍,Smiling Face with Heart-Eyes,eyes full of hearts
🍕,Pizza,triangle of dough and cheese
🌧️,Cloud with Rain,sad weather vibes
🗺️,World Map,navigation tool
🏀,Basketball,team sports fun
🛏️,Bed,dreaming in bed
🔋,Battery,power and energy
📂,Open File Folder,organizing papers
🪒,Razor,barber shop
💡,Light Bulb,new invention plan
🍷,Wine Glass,fine dining spirit
🔑,Key,house key set
🧹,Broom,bristles and dirt
📱,Mobile Phone,using a smartphone
🎁,Wrapped Gift,special present
🔒,Locked,heavy metal bolt
😭,Loudly Crying Face,crying for help
🕯️,Candle,romantic lighting
🚀,Rocket,fast growth and progress
🌧️,Cloud with Rain,gloomy wet day
🚽,Toilet,bathroom fixture
⌚,Watch,checking the time
❄️,Snowflake,skiing and skating
🔦,Flashlight,bright beam
📂,Open File Folder,digital files
⌚,Watch,punctuality and schedule
🎾,Tennis,playing a match
😊,Smiling Face with Smiling Eyes,peaceful happy face
🏀,Basketball,professional athlete life
⚽,Soccer Ball,kicking the ball
😂,Face with Tears of Joy,hilarious joke lol
🏮,Red Paper Lantern,paper lantern
🍕,Pizza,slice of cheesy pepperoni
🛁,Bathtub,bathroom relaxation
🚀,Rocket,engine power start
🤔,Thinking Face,i am wondering about that
🔒,Locked,closed padlock
🧺,Basket,carrying items
🖋️,Fountain Pen,professional signature
🚗,Automobile,driving a car
🕯️,Candle,burning wax light
😴,Sleeping Face,dreaming in bed
💀,Skull,bony skull face
🛁,Bathtub,porcelain tub
🔑,Key,symbolic metal key
💔,Broken Heart,pieces of a heart
📡,Satellite Antenna,technology link
💻,Laptop,tech hardware device
🔒,Locked,login required
💻,Laptop,remote work office
💊,Pill,doctor's advice
🧹,Broom,tidy up house
🖋️,Fountain Pen,ink writing
🚂,Locomotive,moving on iron
🔌,Electric Plug,energy flow
😍,Smiling Face with Heart-Eyes,crazy in love with it
🙏,Folded Hands,saying a prayer
📚,Books,library and study
🧬,DNA,ancestry and genes
⚽,Soccer Ball,field and goals
🔦,Flashlight,beam of light
🥪,Sandwich,lunch deli sandwich
🏀,Basketball,playing a hoop game
🌡️,Thermometer,climate tool
🍦,Soft Serve,snack at park
🌡️,Thermometer,mercury or digital
🪒,Razor,metal safety razor
✨,Sparkles,feeling fabulous and bright
📸,Camera with Flash,taking a picture
😴,Sleeping Face,feeling very sleepy
☕,Hot Beverage,morning tea cup
🎸,Guitar,loud music vibes
🖼️,Framed Picture,visual art
🍦,Soft Serve,cold vanilla dessert
😂,Face with Tears of Joy,that is the funniest thing ever
🍎,Red Apple,fresh from orchard
🧸,Teddy Bear,soft toy
❤️,Red Heart,romantic feeling for you
🏀,Basketball,game day excitement
💀,Skull,skeleton bones
⚽,Soccer Ball,professional soccer
🥗,Green Salad,raw vegetable mix
🧸,Teddy Bear,cute gift
🔬,Microscope,science project
🚪,Door,barrier or gate
🎁,Wrapped Gift,celebratory package
⌛,Hourglass Done,counting down
🧪,Test Tube,mixing solutions
🕰️,Mantelpiece Clock,classic timepiece
💀,Skull,i am dead from laughter
🕰️,Mantelpiece Clock,vintage style
📓,Notebook,scribbling ideas
🧬,DNA,molecule structure
🚗,Automobile,personal red vehicle
⌚,Watch,smart watch tech
⌚,Watch,daily accessory
💰,Money Bag,bank and currency
🤡,Clown Face,colorful face paint
🧸,Teddy Bear,huggable toy
🛋️,Couch and Lamp,reading light
📓,Notebook,record keeping
📱,Mobile Phone,modern technology
🎸,Guitar,making a song
🧼,Soap,hygiene product
☕,Hot Beverage,steam rising up
🔨,Hammer,heavy hand tool
🖼️,Framed Picture,museum piece
🥪,Sandwich,layered food item
🧺,Basket,shopping basket
🚲,Bicycle,two wheel transport
💡,Light Bulb,symbol of creativity
🥗,Green Salad,bowl of health
🤔,Thinking Face,a puzzling question
🐱,Cat Face,cat lover vibes
🚪,Door,handle and hinges
⌚,Watch,ticking time piece
🐶,Dog Face,golden retriever face
☕,Hot Beverage,breakfast beverage
📍,Round Pushpin,mark the location
😭,Loudly Crying Face,overwhelming sadness
✂️,Scissors,cutting paper
🌡️,Thermometer,medical checkup
📏,Straight Ruler,straight edge line
✈️,Airplane,traveling by air
🏠,House,living at home
🎸,Guitar,musician at work
🍎,Red Apple,shiny fruit surface
✂️,Scissors,pair of shears
🐱,Cat Face,playful kitty
❄️,Snowflake,winter wonderland
🥳,Partying Face,blowing a party horn
❄️,Snowflake,frozen water flake
😊,Smiling Face with Smiling Eyes,feeling happy and content
✂️,Scissors,sharp metal blades
📏,Straight Ruler,measuring length
🖼️,Framed Picture,art on wall
🏠,House,my sweet home
🚽,Toilet,household item
🖋️,Fountain Pen,metal nib
🔋,Battery,low energy
🗺️,World Map,global travel
🛳️,Passenger Ship,maritime vessel
🚀,Rocket,skyrocketing results
