Emoji,Unicode Name,Descriptions
🔨,Hammer,building with tools; metal hammer head; driving a nail; construction work; repair and fix; wood working tool; heavy hand tool; renovation project; tool for home; manual labor
✂️,Scissors,cutting paper; sharp metal blades; sewing and craft; haircutting tool; office supplies; snipping with tool; tailoring clothes; creative hobby; school project tool; pair of shears
💊,Pill,taking medicine; medical capsule; health and wellness; prescription drug; pharmacy item; doctor's advice; chemical medicine; small drug pill; feeling better soon; healthcare treatment
🎁,Wrapped Gift,special present; birthday box; ribbon and bow; holiday surprise; giving a gift; reward package; celebration item; generous offer; wrapped mystery; festive box
🎈,Balloon,floating party decoration; air filled balloon; red round shape; child's birthday; flying in air; celebration symbol; festive rubber toy; light and airy; party supply; string and balloon
🕯️,Candle,burning wax light; soft candle flame; romantic lighting; religious vigil; scent and aroma; melting candle wax; warm glowing light; emergency light; old fashioned lamp; peaceful ambiance
📚,Books,stack of reading; library and study; learning and education; hardback book covers; knowledge source; student life; piles of literature; academic research; love for reading; school supplies
✏️,Pencil,writing and drawing; graphite lead tip; yellow wooden pencil; sketching a draft; school stationary; erasable writing tool; creative art tool; taking notes; office supply; hand writing
📏,Straight Ruler,measuring length; school math tool; straight edge line; inches and cm; drawing accurate lines; construction measure; geometry class; plastic or wood; precision tool; measurement scale
🔬,Microscope,scientific research; looking at cells; biology lab tool; magnification lens; discovery and study; medical testing; small detail view; laboratory equipment; science project; expert analysis
🔭,Telescope,looking at stars; astronomy hobby; outer space view; night sky lens; planet watching; distant object view; observatory tool; science of stars; lens and tripod; sky exploration
🧬,DNA,genetic code; biological helix; science and life; hereditary traits; molecule structure; research medicine; ancestry and genes; life sciences; complex spiral; double helix
🧪,Test Tube,chemistry experiment; laboratory glass; liquid chemicals; scientific testing; mixing solutions; science class; medical research; clear glass tube; chemical reaction; lab worker
🌡️,Thermometer,measuring temperature; fever and health; weather heat; glass tube measure; degree of heat; medical checkup; cold or hot; mercury or digital; sensing the temp; climate tool
🧹,Broom,cleaning the floor; sweeping up dust; wooden handle; household chore; bristles and dirt; tidy up house; witch's flight; manual cleaning; sweeping the room; cleaning tool
🧺,Basket,woven storage; laundry basket; picnic food carrier; organizing home; wicker material; carrying items; shopping basket; farm harvest; holding goods; handle and weave
🧼,Soap,washing hands; bubbles and foam; cleaning with water; hygiene product; bar of soap; slippery and wet; bathroom supply; staying clean; scented soap; germ killer
🪒,Razor,shaving facial hair; sharp blade tool; personal grooming; barber shop; smooth skin; cutting hair; metal safety razor; bathroom accessory; grooming routine; sharp edge
🚪,Door,entering the room; wooden door frame; portal to house; opening or closing; privacy and entry; exit sign; handle and hinges; indoor entrance; passage way; barrier or gate
🛏️,Bed,sleeping at night; furniture for rest; mattress and pillow; bedroom item; lying down; soft bed sheets; dreaming in bed; comfortable sleep; place to rest; furniture set
🛋️,Couch and Lamp,sitting in livingroom; comfortable sofa; relaxing at home; interior design; home decor; watching tv; soft cushions; lounge furniture; reading light; cozy corner
🚽,Toilet,bathroom fixture; plumbing and water; restroom facility; porcelain seat; daily hygiene; household item; flushing water; sanitation; toilet bowl; private room
🚿,Shower,washing body; falling water drops; bathroom hygiene; cleaning yourself; hot water stream; shower head; daily routine; refreshing bath; bathroom plumbing; getting wet
🛁,Bathtub,taking a bath; soaking in water; bubbles and soap; bathroom relaxation; porcelain tub; deep water wash; cleaning time; home spa; warm bath; relaxation spot
🧸,Teddy Bear,soft toy bear; child's plushie; cuddly stuffed animal; nursery decor; comfort toy; brown fur bear; childhood memory; huggable toy; cute gift; soft toy
🖼️,Framed Picture,art on wall; painting in frame; home decoration; visual art; museum piece; decorative item; hanging artwork; picture frame; artistic expression; wall decor
🗺️,World Map,planning a trip; paper map; geography study; continents and oceans; navigation tool; global travel; charting a path; world view; locations and borders; explorer's tool
🧭,Compass,finding north; navigation instrument; hiking gear; directional tool; needle and dial; explorer's kit; orienting oneself; magnetic compass; path finding; guide for travel
🕰️,Mantelpiece Clock,antique time; living room decor; ticking clock; old fashioned; keeping time; classic timepiece; shelf ornament; mechanical clock; vintage style; hour and minute
⌛,Hourglass Done,time is up; sand glass; waiting over; period of time; ancient timer; gravity and sand; measured time; counting down; end of task; temporal symbol
📡,Satellite Antenna,receiving signals; space communication; dish antenna; tv broadcast; technology link; wireless data; signal transmission; modern tech; communication tower; radio waves
🔋,Battery,energy storage; electric power; charging up; low energy; full charge; portable energy; battery cell; device power; electricity; green bar
🔌,Electric Plug,power cord; connecting electricity; wall socket; charging device; electric link; hardware plug; energy flow; power cable; male plug; turning on
🔦,Flashlight,light in dark; battery torch; portable lamp; beam of light; emergency light; search tool; handheld light; night light; camping gear; bright beam
🏮,Red Paper Lantern,traditional lamp; festive light; asian culture; celebration decor; paper lantern; soft glow; holiday light; decorative lamp; red light; cultural symbol
📂,Open File Folder,organizing papers; digital files; storage system; project documents; office work; filing system; holding data; data folder; work organization; keeping records
📑,Bookmark Tabs,marking the page; organization tool; reading helper; sticky tabs; categorizing info; document tags; finding spot; library tool; study aid; tab markers
📓,Notebook,writing notes; journal entry; student paper; daily diary; spiral bound; office supply; taking minutes; scribbling ideas; record keeping; blank pages
🖋️,Fountain Pen,ink writing; elegant pen; calligraphy tool; professional signature; metal nib; fancy stationary; writing letters; ink flow; high quality pen; artist tool
